,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Birmingham Women's Hospital,95,90,81,1.6,22%,17%,60%,0%,4,0,0,1,1,0,0,0,3,5,0,130,28%,16,17%,13,14%,13,14%,0,0%,13,14%,13,16%,16,12%,13,10%,13,10%,0,0%
BMI The Priory Hospital,56,53,51,1.92,12%,12%,61%,16%,3,0,0,0,0,0,0,0,0,2,0,98,33%,11,20%,10,18%,9,16%,1,2%,10,19%,10,20%,11,11%,10,10%,9,9%,1,1%
Boston Place,48,41,39,1.59,31%,13%,54%,3%,5,0,0,2,1,1,0,0,1,1,0,62,72%,5,10%,5,10%,5,10%,0,0%,5,12%,5,13%,5,8%,5,8%,5,8%,0,0%
Bourn Hall Clinic,145,126,111,1.7,12%,18%,70%,0%,13,1,2,3,2,0,0,0,5,8,0,189,51%,34,23%,32,22%,27,19%,5,3%,32,25%,32,29%,34,18%,32,17%,27,14%,5,3%
Bristol Centre for Reproductive Medicine,94,91,87,1.98,10%,1%,79%,9%,0,0,3,0,0,2,0,0,0,2,0,172,72%,22,23%,19,20%,17,18%,2,2%,19,21%,19,22%,22,13%,19,11%,17,10%,2,1%
TFP NURTURE Fertility,108,103,88,1.72,8%,22%,69%,1%,2,0,3,0,0,3,0,0,6,6,0,151,84%,22,20%,13,12%,10,9%,3,3%,13,13%,13,15%,22,15%,13,9%,10,7%,3,2%
Cambridge IVF,41,36,32,1.53,31%,16%,53%,0%,4,0,1,0,1,0,0,0,0,3,0,49,41%,5,12%,4,10%,4,10%,0,0%,4,11%,4,13%,5,10%,4,8%,4,8%,0,0%
CARE  Birmingham,50,45,42,1.55,29%,17%,55%,0%,2,0,3,0,0,0,0,0,2,1,0,65,48%,5,10%,4,8%,4,8%,0,0%,4,9%,4,10%,5,8%,4,6%,4,6%,0,0%
CARE Bath,44,43,38,1.66,29%,13%,50%,8%,0,0,0,1,0,1,0,0,3,1,0,63,50%,7,16%,6,14%,6,14%,0,0%,6,14%,6,16%,7,11%,6,10%,6,10%,0,0%
CARE Northampton,52,48,43,1.63,33%,12%,49%,7%,2,0,2,0,1,0,0,0,1,3,0,70,58%,5,10%,4,8%,4,8%,0,0%,4,8%,4,9%,5,7%,4,6%,4,6%,0,0%
CARE Manchester,103,95,79,1.47,28%,28%,42%,3%,6,0,2,0,1,0,0,0,3,12,0,116,57%,21,20%,16,16%,14,14%,2,2%,16,17%,16,20%,21,18%,16,14%,14,12%,2,2%
CARE Tunbridge Wells,43,39,29,1.48,17%,34%,48%,0%,2,0,2,0,0,0,0,0,6,4,0,43,59%,7,16%,5,12%,5,12%,0,0%,5,13%,5,17%,7,16%,5,12%,5,12%,0,0%
CARE Nottingham,84,79,71,1.61,28%,13%,58%,1%,2,1,2,0,0,0,0,0,3,5,0,114,66%,13,15%,11,13%,9,11%,2,2%,11,14%,11,15%,13,11%,11,10%,9,8%,2,2%
CARE London,190,167,146,1.74,10%,22%,62%,6%,13,1,9,0,3,0,0,0,3,15,0,254,51%,43,23%,33,17%,31,16%,2,1%,33,20%,33,23%,43,17%,33,13%,31,12%,2,1%
CARE Sheffield,40,37,33,1.7,21%,15%,58%,6%,2,0,1,0,0,0,0,0,3,1,0,56,42%,10,25%,8,20%,8,20%,0,0%,8,22%,8,24%,10,18%,8,14%,8,14%,0,0%
CARE Tamworth,27,25,21,1.62,19%,19%,62%,0%,1,0,1,0,0,1,0,0,0,3,0,34,62%,3,11%,2,7%,2,7%,0,0%,2,8%,2,10%,3,9%,2,6%,2,6%,0,0%
CARE Woking,118,112,103,1.83,14%,19%,51%,16%,5,0,1,0,1,3,0,0,1,4,0,188,50%,26,22%,22,19%,20,17%,2,2%,22,20%,22,21%,26,14%,22,12%,20,11%,2,1%
Centre for Reproduction & Gynaecology Wales (CRGW),115,109,87,1.79,31%,0%,59%,10%,5,0,1,0,2,2,0,0,6,12,0,156,43%,13,11%,11,10%,10,9%,1,1%,11,10%,11,13%,13,8%,11,7%,10,6%,1,1%
Centre for Reproduction and Gynaecology Wales and West,31,30,25,1.68,32%,16%,36%,16%,1,0,0,0,3,0,0,0,1,1,0,42,52%,6,19%,4,13%,4,13%,0,0%,4,13%,4,16%,6,14%,4,10%,4,10%,0,0%
"Centre for Reproductive Medicine, Coventry",66,64,58,1.71,9%,21%,71%,0%,2,0,0,0,1,0,0,0,1,4,0,99,53%,17,26%,12,18%,11,17%,1,2%,12,19%,12,21%,17,17%,12,12%,11,11%,1,1%
Chelsea & Westminster Hospital,67,65,63,2.08,5%,16%,51%,29%,0,0,0,2,0,0,0,0,0,2,0,131,16%,18,27%,14,21%,13,19%,1,1%,14,22%,14,22%,18,14%,14,11%,13,10%,1,1%
City Fertility,36,32,30,2.2,0%,7%,67%,27%,0,0,4,0,1,0,0,0,0,1,0,66,40%,9,25%,8,22%,8,22%,0,0%,8,25%,8,27%,9,14%,8,12%,8,12%,0,0%
Concept Fertility,28,24,19,1.68,21%,16%,58%,5%,3,0,1,0,2,0,0,0,1,2,0,32,32%,4,14%,4,14%,4,14%,0,0%,4,17%,4,21%,4,13%,4,13%,4,13%,0,0%
TFP Oxford Fertility,131,122,110,1.76,12%,12%,76%,0%,5,1,1,2,1,2,0,0,1,8,0,194,49%,23,18%,18,14%,18,14%,0,0%,18,15%,18,16%,23,12%,18,9%,18,9%,0,0%
TFP GCRM Fertility,122,103,85,1.95,11%,19%,46%,25%,14,0,0,5,2,5,0,0,2,9,0,166,53%,20,16%,16,13%,14,11%,2,2%,16,16%,16,19%,20,12%,16,10%,14,8%,2,1%
Edinburgh Fertility Centre,69,69,58,1.4,34%,26%,40%,0%,0,0,0,0,0,1,0,0,0,10,0,81,26%,20,29%,16,23%,16,23%,0,0%,16,23%,16,28%,20,25%,16,20%,16,20%,0,0%
Fertility & Gynaecology Academy,20,19,15,1.8,27%,13%,40%,20%,1,0,0,0,1,0,0,0,1,2,0,27,33%,5,25%,3,15%,2,10%,1,5%,3,16%,3,20%,5,19%,3,11%,2,7%,1,4%
London Women's Clinic,212,178,136,1.27,69%,6%,23%,2%,27,0,5,2,5,0,0,0,2,35,0,173,99%,29,14%,25,12%,25,12%,0,0%,25,14%,25,18%,29,17%,25,14%,25,14%,0,0%
King’s Fertility,122,111,93,1.55,11%,34%,55%,0%,9,0,1,1,1,1,0,0,5,11,0,144,43%,31,25%,26,21%,25,20%,1,1%,26,23%,26,28%,31,22%,26,18%,25,17%,1,1%
Glasgow Royal Infirmary,103,91,71,1.62,6%,32%,62%,0%,9,0,0,3,0,8,0,0,2,11,0,115,44%,13,13%,10,10%,9,9%,1,1%,10,11%,10,14%,13,11%,10,9%,9,8%,1,1%
Guys Hospital,331,315,295,2,8%,16%,52%,24%,8,0,2,6,3,1,0,0,2,17,0,589,46%,41,12%,33,10%,29,9%,4,1%,33,10%,33,11%,41,7%,33,6%,29,5%,4,1%
Herts and Essex Fertility Centre,77,62,57,1.75,18%,9%,72%,2%,10,0,5,0,0,1,0,0,0,4,0,100,60%,7,9%,6,8%,6,8%,0,0%,6,10%,6,11%,7,7%,6,6%,6,6%,0,0%
"Hewitt Fertility Centre, Knutsford",43,42,33,1.58,18%,24%,58%,0%,1,0,0,0,0,0,0,0,6,3,0,52,58%,2,5%,2,5%,2,5%,0,0%,2,5%,2,6%,2,4%,2,4%,2,4%,0,0%
Homerton Fertility Centre,93,84,70,1.74,26%,6%,63%,6%,4,0,3,2,0,4,0,0,5,5,0,122,81%,13,14%,10,11%,9,10%,1,1%,10,12%,10,14%,13,11%,10,8%,9,7%,1,1%
Hull & East Riding Fertility,20,20,19,1.58,37%,5%,58%,0%,0,0,0,0,0,0,0,0,0,1,0,30,63%,5,25%,5,25%,5,25%,0,0%,5,25%,5,26%,5,17%,5,17%,5,17%,0,0%
"London Women's Clinic, Darlington",21,20,16,1.56,0%,44%,56%,0%,1,0,0,0,1,2,0,0,0,1,0,25,63%,5,24%,4,19%,4,19%,0,0%,4,20%,4,25%,5,20%,4,16%,4,16%,0,0%
Jessop Fertility,58,54,45,1.8,7%,27%,53%,13%,2,0,2,0,0,1,0,0,3,5,0,81,40%,12,21%,9,16%,9,16%,0,0%,9,17%,9,20%,12,15%,9,11%,9,11%,0,0%
Kent Fertility Centre,36,31,28,2.07,4%,14%,57%,25%,5,0,0,0,0,0,0,0,1,2,0,58,25%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Leeds Fertility,153,140,126,1.43,50%,7%,43%,0%,8,0,3,2,0,0,0,0,7,8,0,180,72%,27,18%,19,12%,18,12%,1,1%,19,14%,19,15%,27,15%,19,11%,18,10%,1,1%
Leicester Fertility Centre,43,41,41,1.73,7%,20%,73%,0%,1,0,0,1,0,0,0,0,0,0,0,71,46%,10,23%,6,14%,5,12%,1,2%,6,15%,6,15%,10,14%,6,8%,5,7%,1,1%
London Fertility Centre,124,122,117,2.36,0%,20%,25%,56%,0,0,0,2,0,1,0,0,1,4,0,276,17%,30,24%,29,23%,24,19%,5,4%,29,24%,29,25%,30,11%,29,11%,24,9%,5,2%
"London Women's Clinic, Wales",68,57,46,1.67,13%,24%,59%,4%,6,1,3,1,0,1,0,0,1,9,0,77,46%,11,16%,8,12%,8,12%,0,0%,8,14%,8,17%,11,14%,8,10%,8,10%,0,0%
TFP Wessex Fertility,66,62,50,1.46,54%,0%,46%,0%,4,0,0,0,1,2,0,0,6,3,0,73,66%,9,14%,6,9%,4,6%,2,3%,6,10%,6,12%,9,12%,6,8%,4,5%,2,3%
NewLife Fertility Centre,34,34,23,1.7,0%,30%,70%,0%,0,0,0,0,0,0,0,0,2,9,0,39,48%,4,12%,2,6%,2,6%,0,0%,2,6%,2,9%,4,10%,2,5%,2,5%,0,0%
Reproductive Genetics Institute,17,17,16,2.94,0%,0%,6%,94%,0,0,0,0,0,1,0,0,0,0,0,47,69%,8,47%,6,35%,6,35%,0,0%,6,35%,6,38%,8,17%,6,13%,6,13%,0,0%
Reproductive Health Group,13,11,7,1.14,71%,14%,14%,0%,0,0,1,1,0,0,0,0,1,3,0,8,29%,1,8%,1,8%,1,8%,0,0%,1,9%,1,14%,1,13%,1,13%,1,13%,0,0%
Shropshire and Mid-Wales Fertility Centre,24,19,17,1.88,0%,12%,88%,0%,4,0,1,0,1,0,0,0,0,1,0,32,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Simply Fertility,31,29,25,1.92,16%,4%,68%,12%,2,0,0,0,0,0,0,0,1,3,0,48,32%,6,19%,4,13%,3,10%,1,3%,4,14%,4,16%,6,13%,4,8%,3,6%,1,2%
St Jude's Women's Hospital,13,11,9,2,0%,11%,78%,11%,1,0,0,1,0,0,0,0,0,2,0,18,22%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
St Mary's Hospital,65,58,47,1.7,17%,13%,70%,0%,3,0,3,1,6,0,0,0,1,4,0,80,30%,13,20%,11,17%,10,15%,1,2%,11,19%,11,23%,13,16%,11,14%,10,13%,1,1%
TFP Belfast Fertility,72,67,55,1.76,4%,22%,73%,2%,4,0,0,1,1,0,0,0,5,6,0,97,42%,6,8%,4,6%,3,4%,1,1%,4,6%,4,7%,6,6%,4,4%,3,3%,1,1%
TFP Thames Valley Fertility,55,50,45,1.71,16%,13%,71%,0%,5,0,0,0,1,1,0,0,1,2,0,77,62%,10,18%,8,15%,6,11%,2,4%,8,16%,8,18%,10,13%,8,10%,6,8%,2,3%
Wolfson Fertility Centre - Hammersmith Hospital,98,93,51,1.75,12%,18%,67%,4%,0,0,1,4,1,0,0,0,30,11,0,89,57%,12,12%,8,8%,8,8%,0,0%,8,9%,8,16%,12,13%,8,9%,8,9%,0,0%
