,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Beginnings at Epsom & St Helier NHS University Trust,42,37,33,1.52,42%,6%,52%,0%,4,0,1,0,0,0,0,0,0,4,0,50,48%,13,31%,12,29%,11,26%,1,2%,12,32%,12,36%,13,26%,12,24%,11,22%,1,2%
Birmingham Women's Hospital,199,190,160,1.28,62%,10%,28%,0%,4,4,1,0,15,1,0,1,7,6,0,205,52%,55,28%,50,25%,47,24%,3,2%,50,26%,50,31%,55,27%,50,24%,47,23%,3,1%
BMI The Priory Hospital,93,85,73,1.52,38%,10%,52%,0%,3,0,4,1,0,0,0,0,6,6,0,111,64%,24,26%,22,24%,20,22%,2,2%,22,26%,22,30%,24,22%,22,20%,20,18%,2,2%
Boston Place,42,41,35,1.34,51%,14%,34%,0%,1,0,0,0,0,1,0,0,3,2,0,47,80%,17,40%,15,36%,13,31%,2,5%,15,37%,15,43%,17,36%,15,32%,13,28%,2,4%
Bourn Hall Clinic,282,275,256,1.42,38%,20%,42%,0%,5,0,1,1,3,0,0,0,4,12,0,364,70%,109,39%,97,34%,83,29%,14,5%,97,35%,97,38%,109,30%,97,27%,83,23%,14,4%
Bourn Hall Clinic Norwich,75,67,64,1.31,52%,17%,31%,0%,4,0,3,1,3,0,0,0,0,0,0,84,64%,32,43%,30,40%,28,37%,2,3%,30,45%,30,47%,32,38%,30,36%,28,33%,2,2%
Bristol Centre for Reproductive Medicine,104,102,101,1.34,65%,1%,34%,0%,0,0,0,2,0,0,0,0,1,1,0,135,83%,42,40%,38,37%,35,34%,3,3%,38,37%,38,38%,42,31%,38,28%,35,26%,3,2%
TFP NURTURE Fertility,157,152,123,1.38,25%,37%,38%,0%,4,0,1,0,1,8,0,0,13,7,0,170,95%,56,36%,46,29%,39,25%,7,4%,46,30%,46,37%,56,33%,46,27%,39,23%,7,4%
Cambridge IVF,60,55,46,1.24,59%,17%,24%,0%,5,0,0,0,6,0,0,0,0,3,0,57,59%,12,20%,10,17%,8,13%,2,3%,10,18%,10,22%,12,21%,10,18%,8,14%,2,4%
CARE  Birmingham,56,52,41,1.29,51%,20%,29%,0%,3,0,1,0,2,0,0,0,5,4,0,53,71%,18,32%,15,27%,12,21%,3,5%,15,29%,15,37%,18,34%,15,28%,12,23%,3,6%
CARE Bath,111,109,100,1.19,73%,8%,19%,0%,2,0,0,0,3,1,0,0,2,3,0,119,57%,36,32%,35,32%,34,31%,1,1%,35,32%,35,35%,36,30%,35,29%,34,29%,1,1%
CARE Northampton,108,106,92,1.29,57%,14%,29%,0%,1,0,1,0,4,0,0,0,2,8,0,119,79%,42,39%,36,33%,32,30%,4,4%,36,34%,36,39%,42,35%,36,30%,32,27%,4,3%
CARE Manchester,178,168,154,1.17,45%,38%,17%,0%,5,0,5,0,1,0,0,0,4,9,0,180,60%,40,22%,36,20%,35,20%,1,1%,36,21%,36,23%,40,22%,36,20%,35,19%,1,1%
CARE Tunbridge Wells,106,97,86,1.14,47%,40%,14%,0%,5,2,2,0,0,0,0,0,8,3,0,98,76%,32,30%,27,25%,25,24%,2,2%,27,28%,27,31%,32,33%,27,28%,25,26%,2,2%
CARE Nottingham,132,120,107,1.32,63%,6%,32%,0%,7,0,5,0,1,0,0,0,7,5,0,141,81%,43,33%,36,27%,32,24%,4,3%,36,30%,36,34%,43,30%,36,26%,32,23%,4,3%
CARE London,155,147,123,1.35,28%,37%,35%,0%,4,0,4,0,12,0,0,0,7,5,0,166,83%,45,29%,34,22%,26,17%,8,5%,34,23%,34,28%,45,27%,34,20%,26,16%,8,5%
CARE Sheffield,83,73,66,1.09,85%,6%,9%,0%,4,0,6,0,0,0,0,0,5,2,0,72,73%,25,30%,23,28%,22,27%,1,1%,23,32%,23,35%,25,35%,23,32%,22,31%,1,1%
CARE Tamworth,63,57,48,1.15,63%,23%,15%,0%,6,0,0,0,4,1,0,0,2,2,0,55,77%,21,33%,17,27%,15,24%,2,3%,17,30%,17,35%,21,38%,17,31%,15,27%,2,4%
CARE Woking,222,215,192,1.35,51%,14%,35%,0%,5,0,1,1,7,1,0,0,3,12,0,259,78%,86,39%,73,33%,65,29%,8,4%,73,34%,73,38%,86,33%,73,28%,65,25%,8,3%
Centre for Reproduction & Gynaecology Wales (CRGW),107,99,91,1.31,68%,1%,31%,0%,6,0,1,1,2,0,0,0,1,5,0,119,77%,35,33%,30,28%,28,26%,2,2%,30,30%,30,33%,35,29%,30,25%,28,24%,2,2%
Centre for Reproduction and Gynaecology Wales and West,77,70,62,1.19,65%,16%,19%,0%,5,0,2,0,4,0,0,0,0,4,0,74,63%,30,39%,29,38%,27,35%,2,3%,29,41%,29,47%,30,41%,29,39%,27,36%,2,3%
The Centre for Reproductive and Genetic Health,164,163,164,1.42,43%,15%,42%,0%,0,0,0,1,0,0,0,0,0,0,0,233,80%,78,48%,67,41%,57,35%,10,6%,67,41%,67,41%,78,33%,67,29%,57,24%,10,4%
"Centre for Reproductive Medicine, Coventry",115,110,101,1.14,53%,33%,14%,0%,3,0,1,1,0,0,0,0,3,6,0,115,67%,37,32%,33,29%,28,24%,5,4%,33,30%,33,33%,37,32%,33,29%,28,24%,5,4%
Chelsea & Westminster Hospital,104,103,97,1.47,45%,7%,47%,0%,0,0,0,1,0,0,0,0,5,1,0,143,57%,42,40%,39,38%,33,32%,6,6%,39,38%,39,40%,42,29%,39,27%,33,23%,6,4%
City Fertility,29,27,20,1.55,15%,30%,55%,0%,1,0,1,0,0,0,0,0,4,3,0,31,55%,5,17%,4,14%,3,10%,1,3%,4,15%,4,20%,5,16%,4,13%,3,10%,1,3%
Complete Fertility Centre Southampton,78,75,63,1.32,48%,21%,32%,0%,3,0,0,0,3,1,0,0,3,5,0,83,75%,31,40%,27,35%,25,32%,2,3%,27,36%,27,43%,31,37%,27,33%,25,30%,2,2%
Concept Fertility,21,19,17,1.53,41%,6%,53%,0%,2,0,0,0,1,0,0,0,0,1,0,26,41%,6,29%,6,29%,5,24%,1,5%,6,32%,6,35%,6,23%,6,23%,5,19%,1,4%
TFP Oxford Fertility,246,240,217,1.47,41%,12%,47%,0%,4,0,1,1,8,3,0,0,3,9,0,320,69%,79,32%,67,27%,65,26%,2,1%,67,28%,67,31%,79,25%,67,21%,65,20%,2,1%
TFP GCRM Fertility,96,89,77,1.39,52%,9%,39%,0%,5,0,0,2,4,2,0,0,2,5,0,107,77%,34,35%,31,32%,28,29%,3,3%,31,35%,31,40%,34,32%,31,29%,28,26%,3,3%
Edinburgh Fertility Centre,133,129,112,1.21,51%,29%,21%,0%,2,0,1,1,6,1,0,0,5,5,0,135,28%,39,29%,37,28%,33,25%,4,3%,37,29%,37,33%,39,29%,37,27%,33,24%,4,3%
Fertility & Gynaecology Academy,19,18,13,1.46,46%,8%,46%,0%,1,0,0,0,0,1,0,0,2,2,0,19,69%,5,26%,4,21%,4,21%,0,0%,4,22%,4,31%,5,26%,4,21%,4,21%,0,0%
Fertility Exeter,84,78,76,1.47,26%,26%,47%,0%,4,1,1,0,0,1,0,0,0,1,0,112,72%,22,26%,18,21%,14,17%,4,5%,18,23%,18,24%,22,20%,18,16%,14,13%,4,4%
London Women's Clinic,202,160,118,1.1,81%,8%,10%,0%,33,0,3,6,8,0,0,0,0,34,0,130,97%,50,25%,45,22%,43,21%,2,1%,45,28%,45,38%,50,38%,45,35%,43,33%,2,2%
King’s Fertility,196,186,167,1.26,21%,53%,26%,0%,5,0,3,2,0,2,0,0,2,15,0,210,63%,62,32%,52,27%,50,26%,2,1%,52,28%,52,31%,62,30%,52,25%,50,24%,2,1%
Gateshead Fertility Unit,115,112,100,1.06,72%,22%,6%,0%,3,0,0,0,3,0,0,0,1,8,0,106,82%,34,30%,28,24%,28,24%,0,0%,28,25%,28,28%,34,32%,28,26%,28,26%,0,0%
Glasgow Royal Infirmary,236,218,189,1.06,77%,16%,6%,0%,11,0,3,4,6,8,0,0,4,12,0,201,78%,78,33%,77,33%,73,31%,4,2%,77,35%,77,41%,78,39%,77,38%,73,36%,4,2%
Guys Hospital,458,445,406,1.47,39%,15%,47%,0%,4,0,3,6,11,4,0,0,8,18,0,595,72%,112,24%,105,23%,91,20%,14,3%,105,24%,105,26%,112,19%,105,18%,91,15%,14,2%
Harley Street Fertility Clinic,17,16,10,1.7,20%,10%,70%,0%,0,0,1,0,0,0,0,0,5,1,0,17,40%,6,35%,4,24%,3,18%,1,6%,4,25%,4,40%,6,35%,4,24%,3,18%,1,6%
Herts and Essex Fertility Centre,92,80,71,1.27,62%,11%,27%,0%,8,0,4,0,5,0,0,0,2,2,0,90,86%,24,26%,18,20%,16,17%,2,2%,18,23%,18,25%,24,27%,18,20%,16,18%,2,2%
"Hewitt Fertility Centre, Knutsford",99,95,68,1.12,72%,16%,12%,0%,3,0,1,0,2,4,0,0,19,2,0,76,81%,26,26%,22,22%,21,21%,1,1%,22,23%,22,32%,26,34%,22,29%,21,28%,1,1%
Homerton Fertility Centre,123,117,99,1.44,49%,6%,44%,0%,4,0,1,1,0,5,0,0,9,5,0,143,86%,21,17%,20,16%,19,15%,1,1%,20,17%,20,20%,21,15%,20,14%,19,13%,1,1%
Hull & East Riding Fertility,70,63,56,1.18,77%,5%,18%,0%,2,2,2,1,3,0,0,0,2,2,0,66,71%,18,26%,14,20%,13,19%,1,1%,14,22%,14,25%,18,27%,14,21%,13,20%,1,2%
"London Women's Clinic, Darlington",37,35,25,1.44,4%,52%,44%,0%,1,0,1,0,5,1,0,0,2,2,0,36,80%,11,30%,11,30%,9,24%,2,5%,11,31%,11,44%,11,31%,11,31%,9,25%,2,6%
James Cook University Hospital,74,74,71,1.35,55%,10%,35%,0%,0,0,0,0,0,0,0,0,0,3,0,96,38%,24,32%,21,28%,19,26%,2,3%,21,28%,21,30%,24,25%,21,22%,19,20%,2,2%
Jessop Fertility,144,139,126,1.43,18%,39%,43%,0%,3,1,1,0,0,0,0,0,7,6,0,180,66%,40,28%,34,24%,32,22%,2,1%,34,24%,34,27%,40,22%,34,19%,32,18%,2,1%
Kent Fertility Centre,52,48,42,1.6,26%,14%,60%,0%,3,0,1,0,0,1,0,0,1,4,0,67,48%,12,23%,7,13%,5,10%,2,4%,7,15%,7,17%,12,18%,7,10%,5,7%,2,3%
Leeds Fertility,259,250,224,1.1,77%,13%,10%,0%,5,1,1,2,2,0,0,0,14,11,0,247,88%,89,34%,73,28%,70,27%,3,1%,73,29%,73,33%,89,36%,73,30%,70,28%,3,1%
Leicester Fertility Centre,59,58,56,1.45,34%,21%,45%,0%,0,0,1,0,2,0,0,0,0,0,0,81,52%,18,31%,17,29%,15,25%,2,3%,17,29%,17,30%,18,22%,17,21%,15,19%,2,2%
London Fertility Centre,39,39,37,1.92,3%,14%,76%,8%,0,0,0,0,0,0,0,0,0,2,0,71,27%,16,41%,13,33%,12,31%,1,3%,13,33%,13,35%,16,23%,13,18%,12,17%,1,1%
"London Women's Clinic, Wales",95,83,76,1.29,57%,14%,29%,0%,12,0,0,0,0,1,0,0,3,3,0,98,76%,20,21%,18,19%,18,19%,0,0%,18,22%,18,24%,20,20%,18,18%,18,18%,0,0%
TFP Wessex Fertility,118,111,91,1.15,84%,1%,15%,0%,6,0,0,1,5,1,0,0,8,6,0,105,71%,29,25%,26,22%,23,19%,3,3%,26,23%,26,29%,29,28%,26,25%,23,22%,3,3%
Newcastle Fertility Centre at Life,114,111,100,1.21,65%,14%,21%,0%,1,0,0,2,0,1,0,0,1,9,0,121,73%,31,27%,27,24%,25,22%,2,2%,27,24%,27,27%,31,26%,27,22%,25,21%,2,2%
NewLife Fertility Centre,21,21,20,1.75,0%,25%,75%,0%,0,0,0,0,0,0,0,0,1,0,0,35,65%,11,52%,8,38%,7,33%,1,5%,8,38%,8,40%,11,31%,8,23%,7,20%,1,3%
Ninewells Hospital,91,90,77,1.35,44%,21%,35%,0%,1,0,0,0,5,3,0,0,3,2,0,104,77%,32,35%,28,31%,28,31%,0,0%,28,31%,28,36%,32,31%,28,27%,28,27%,0,0%
Reproductive Health Group,12,11,7,1,86%,14%,0%,0%,1,0,0,0,1,1,0,0,1,1,0,7,86%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Salisbury Fertility Centre,59,58,56,1.21,48%,30%,21%,0%,0,1,0,0,0,0,0,0,1,1,0,68,71%,23,39%,19,32%,17,29%,2,3%,19,33%,19,34%,23,34%,19,28%,17,25%,2,3%
Shropshire and Mid-Wales Fertility Centre,80,70,63,1.62,22%,16%,62%,0%,7,0,3,0,2,0,0,0,2,3,0,102,30%,28,35%,28,35%,24,30%,4,5%,28,40%,28,44%,28,27%,28,27%,24,24%,4,4%
Simply Fertility,62,59,55,1.42,45%,13%,42%,0%,1,0,1,1,1,0,0,0,1,2,0,78,51%,23,37%,20,32%,19,31%,1,2%,20,34%,20,36%,23,29%,20,26%,19,24%,1,1%
St Jude's Women's Hospital,11,11,9,1.89,0%,11%,89%,0%,0,0,0,0,1,0,0,0,0,1,0,17,44%,1,9%,1,9%,1,9%,0,0%,1,9%,1,11%,1,6%,1,6%,1,6%,0,0%
St Mary's Hospital,237,219,194,1.5,43%,7%,50%,0%,14,0,3,1,10,0,0,0,7,8,0,291,55%,74,31%,70,30%,62,26%,8,3%,70,32%,70,36%,74,25%,70,24%,62,21%,8,3%
Sussex Downs Fertility Centre,51,49,44,1.18,73%,9%,18%,0%,1,0,0,1,1,1,0,0,0,3,0,52,70%,12,24%,9,18%,9,18%,0,0%,9,18%,9,20%,12,23%,9,17%,9,17%,0,0%
TFP Belfast Fertility,142,134,109,1.44,20%,36%,44%,0%,8,0,0,0,13,1,0,0,4,7,0,157,55%,33,23%,30,21%,27,19%,3,2%,30,22%,30,28%,33,21%,30,19%,27,17%,3,2%
TFP Thames Valley Fertility,82,80,70,1.17,73%,10%,17%,0%,2,0,0,0,3,0,0,0,5,2,0,82,90%,24,29%,23,28%,23,28%,0,0%,23,29%,23,33%,24,29%,23,28%,23,28%,0,0%
Wales Fertility Institute – Neath ,86,82,68,1.37,51%,12%,37%,0%,3,0,1,0,8,0,0,0,2,4,0,93,72%,20,23%,18,21%,17,20%,1,1%,18,22%,18,26%,20,22%,18,19%,17,18%,1,1%
"Wales Fertility Institute, Cardiff",97,87,74,1.27,65%,8%,27%,0%,9,0,0,1,6,1,0,0,3,3,0,94,73%,26,27%,24,25%,22,23%,2,2%,24,28%,24,32%,26,28%,24,26%,22,23%,2,2%
Wolfson Fertility Centre - Hammersmith Hospital,227,224,164,1.34,55%,11%,34%,0%,0,0,1,2,6,0,0,0,41,13,0,219,81%,60,26%,56,25%,51,22%,5,2%,56,25%,56,34%,60,27%,56,26%,51,23%,5,2%
