,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Chelsea & Westminster Hospital,74,74,73,1.78,14%,8%,78%,0%,0,0,0,0,0,0,0,0,0,1,0,130,44%,31,42%,31,42%,26,35%,5,7%,31,42%,31,42%,31,24%,31,24%,26,20%,5,4%
City Fertility,24,21,18,1.61,6%,33%,61%,0%,0,0,2,1,0,0,0,0,3,0,0,29,61%,5,21%,4,17%,4,17%,0,0%,4,19%,4,22%,5,17%,4,14%,4,14%,0,0%
Complete Fertility Centre Southampton,32,30,26,1.42,23%,35%,42%,0%,2,0,0,0,1,0,0,0,1,2,0,37,62%,8,25%,6,19%,6,19%,0,0%,6,20%,6,23%,8,22%,6,16%,6,16%,0,0%
Concept Fertility,24,23,19,1.79,16%,5%,79%,0%,0,0,1,0,2,0,0,0,2,0,0,34,16%,6,25%,4,17%,4,17%,0,0%,4,17%,4,21%,6,18%,4,12%,4,12%,0,0%
TFP Oxford Fertility,149,149,134,1.57,25%,18%,57%,0%,0,0,0,0,4,0,0,0,5,6,0,211,59%,40,27%,35,23%,32,21%,3,2%,35,23%,35,26%,40,19%,35,17%,32,15%,3,1%
TFP GCRM Fertility,94,92,70,1.41,31%,27%,41%,0%,2,0,0,0,6,5,0,0,2,9,0,99,64%,20,21%,19,20%,19,20%,0,0%,19,21%,19,27%,20,20%,19,19%,19,19%,0,0%
Edinburgh Fertility Centre,90,87,72,1.22,46%,32%,22%,0%,3,0,0,0,3,2,0,0,2,8,0,88,29%,17,19%,14,16%,14,16%,0,0%,14,16%,14,19%,17,19%,14,16%,14,16%,0,0%
Evewell,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Fertility & Gynaecology Academy,17,16,11,1.73,27%,0%,73%,0%,1,0,0,0,0,0,0,0,2,3,0,19,45%,3,18%,3,18%,3,18%,0,0%,3,19%,3,27%,3,16%,3,16%,3,16%,0,0%
Fertility Exeter,47,44,41,1.63,27%,10%,63%,0%,3,0,0,0,0,0,0,0,0,3,0,67,63%,8,17%,8,17%,7,15%,1,2%,8,18%,8,20%,8,12%,8,12%,7,10%,1,1%
London Women's Clinic,177,150,120,1.26,69%,5%,26%,0%,26,0,1,0,2,0,0,0,2,26,0,151,95%,38,21%,32,18%,30,17%,2,1%,32,21%,32,27%,38,25%,32,21%,30,20%,2,1%
King�s Fertility,181,166,133,1.36,19%,45%,36%,0%,8,0,4,3,9,2,0,0,11,11,0,181,56%,41,23%,35,19%,31,17%,4,2%,35,21%,35,26%,41,23%,35,19%,31,17%,4,2%
Gateshead Fertility Unit,82,76,67,1.16,69%,15%,16%,0%,6,0,0,0,0,1,0,0,0,8,0,78,69%,14,17%,11,13%,9,11%,2,2%,11,14%,11,16%,14,18%,11,14%,9,12%,2,3%
Glasgow Royal Infirmary,167,152,129,1.64,19%,17%,64%,0%,11,1,1,2,0,7,0,0,5,11,0,212,60%,57,34%,53,32%,46,28%,7,4%,53,35%,53,41%,57,27%,53,25%,46,22%,7,3%
Guys Hospital,372,366,344,1.75,16%,9%,74%,0%,2,0,1,3,7,0,0,0,1,14,0,601,58%,91,24%,83,22%,73,20%,10,3%,83,23%,83,24%,91,15%,83,14%,73,12%,10,2%
Harley Street Fertility Clinic,18,17,13,1.85,0%,15%,85%,0%,1,0,0,0,0,0,0,0,1,3,0,24,23%,3,17%,2,11%,2,11%,0,0%,2,12%,2,15%,3,13%,2,8%,2,8%,0,0%
Herts and Essex Fertility Centre,54,50,46,1.52,35%,13%,52%,0%,2,0,1,1,2,0,0,0,1,1,0,70,67%,15,28%,8,15%,8,15%,0,0%,8,16%,8,17%,15,21%,8,11%,8,11%,0,0%
"Hewitt Fertility Centre, Knutsford",51,47,32,1.25,63%,13%,25%,0%,2,0,2,0,1,1,0,0,8,5,0,40,78%,10,20%,8,16%,8,16%,0,0%,8,17%,8,25%,10,25%,8,20%,8,20%,0,0%
Homerton Fertility Centre,102,94,71,1.66,28%,6%,66%,0%,5,0,0,3,0,3,0,0,15,5,0,118,93%,32,31%,27,26%,22,22%,5,5%,27,29%,27,38%,32,27%,27,23%,22,19%,5,4%
Hull & East Riding Fertility,39,36,35,1.43,51%,6%,43%,0%,3,0,0,0,0,0,0,0,0,1,0,50,54%,7,18%,6,15%,6,15%,0,0%,6,17%,6,17%,7,14%,6,12%,6,12%,0,0%
"London Women's Clinic, Darlington",16,13,10,1.5,0%,50%,50%,0%,1,0,1,1,1,0,0,0,1,1,0,15,100%,5,31%,5,31%,5,31%,0,0%,5,38%,5,50%,5,33%,5,33%,5,33%,0,0%
James Cook University Hospital,35,35,34,1.59,24%,18%,59%,0%,0,0,0,0,0,0,0,0,0,1,0,54,41%,6,17%,6,17%,6,17%,0,0%,6,17%,6,18%,6,11%,6,11%,6,11%,0,0%
Jessop Fertility,78,75,70,1.56,7%,37%,56%,0%,3,0,0,0,1,0,0,0,2,2,0,109,54%,17,22%,12,15%,12,15%,0,0%,12,16%,12,17%,17,16%,12,11%,12,11%,0,0%
Kent Fertility Centre,33,28,22,1.77,9%,14%,77%,0%,2,0,2,1,0,0,0,0,5,1,0,39,41%,4,12%,3,9%,0,0%,3,9%,3,11%,3,14%,4,10%,3,8%,0,0%,3,8%
Leeds Fertility,165,160,141,1.21,72%,7%,21%,0%,4,0,1,0,2,0,0,0,6,11,0,171,87%,52,32%,43,26%,42,25%,1,1%,43,27%,43,30%,52,30%,43,25%,42,25%,1,1%
Leicester Fertility Centre,41,41,38,1.61,24%,16%,61%,0%,0,0,0,0,0,0,0,0,0,3,0,61,53%,15,37%,10,24%,10,24%,0,0%,10,24%,10,26%,15,25%,10,16%,10,16%,0,0%
London Fertility Centre,56,53,51,1.98,0%,14%,75%,12%,1,0,0,2,0,0,0,0,1,1,0,101,33%,24,43%,24,43%,20,36%,4,7%,24,45%,24,47%,24,24%,24,24%,20,20%,4,4%
"London Women's Clinic, Wales",68,61,52,1.38,27%,35%,38%,0%,7,0,0,0,0,3,0,0,1,5,0,72,60%,17,25%,12,18%,10,15%,2,3%,12,20%,12,23%,17,24%,12,17%,10,14%,2,3%
TFP Wessex Fertility,70,68,52,1.23,75%,2%,23%,0%,1,0,0,1,6,3,0,0,4,3,0,64,67%,17,24%,13,19%,13,19%,0,0%,13,19%,13,25%,17,27%,13,20%,13,20%,0,0%
Newcastle Fertility Centre at Life,72,70,65,1.31,62%,8%,31%,0%,1,0,0,1,0,0,0,0,0,5,0,85,66%,19,26%,17,24%,16,22%,1,1%,17,24%,17,26%,19,22%,17,20%,16,19%,1,1%
NewLife Fertility Centre,10,9,8,1.63,0%,38%,63%,0%,0,0,1,0,0,0,0,0,1,0,0,13,63%,3,30%,3,30%,3,30%,0,0%,3,33%,3,38%,3,23%,3,23%,3,23%,0,0%
Ninewells Hospital,54,49,42,1.38,43%,19%,38%,0%,5,0,0,0,3,1,0,0,1,2,0,58,71%,18,33%,13,24%,12,22%,1,2%,13,27%,13,31%,18,31%,13,22%,12,21%,1,2%
Reproductive Health Group,12,11,7,1.29,71%,0%,29%,0%,1,0,0,0,1,1,0,0,2,0,0,9,43%,1,8%,1,8%,1,8%,0,0%,1,9%,1,14%,1,11%,1,11%,1,11%,0,0%
Salisbury Fertility Centre,29,27,26,1.5,8%,42%,50%,0%,1,1,0,0,0,0,0,0,0,1,0,39,31%,6,21%,5,17%,5,17%,0,0%,5,19%,5,19%,6,15%,5,13%,5,13%,0,0%
Shropshire and Mid-Wales Fertility Centre,44,39,36,1.89,3%,8%,89%,0%,4,1,0,0,1,0,0,0,0,2,0,68,0%,12,27%,11,25%,10,23%,1,2%,11,28%,11,31%,12,18%,11,16%,10,15%,1,1%
Simply Fertility,49,45,43,1.58,19%,23%,58%,0%,3,0,1,0,0,1,0,0,0,1,0,68,40%,14,29%,13,27%,12,24%,1,2%,13,29%,13,30%,14,21%,13,19%,12,18%,1,1%
St Jude's Women's Hospital,10,10,8,1.88,0%,13%,88%,0%,0,0,0,0,0,0,0,0,1,1,0,15,50%,4,40%,3,30%,2,20%,1,10%,3,30%,3,38%,4,27%,3,20%,2,13%,1,7%
St Mary's Hospital,146,126,108,1.61,28%,11%,61%,0%,18,0,1,1,6,0,0,0,4,8,0,174,46%,36,25%,31,21%,28,19%,3,2%,31,25%,31,29%,36,21%,31,18%,28,16%,3,2%
Sussex Downs Fertility Centre,40,39,34,1.26,59%,15%,26%,0%,1,0,0,0,1,0,0,0,0,4,0,43,59%,6,15%,6,15%,5,13%,1,3%,6,15%,6,18%,6,14%,6,14%,5,12%,1,2%
TFP Belfast Fertility,84,82,72,1.74,7%,19%,74%,0%,1,0,0,1,2,1,0,0,2,5,0,125,51%,19,23%,18,21%,15,18%,3,4%,18,22%,18,25%,19,15%,18,14%,15,12%,3,2%
TFP Thames Valley Fertility,56,54,52,1.5,38%,12%,50%,0%,2,0,0,0,0,0,0,0,0,2,0,78,83%,8,14%,7,13%,4,7%,3,5%,7,13%,7,13%,8,10%,7,9%,4,5%,3,4%
Wales Fertility Institute – Neath ,44,44,37,1.49,43%,8%,49%,0%,0,0,0,0,0,0,0,0,1,6,0,55,73%,6,14%,7,16%,6,14%,1,2%,7,16%,7,19%,6,11%,7,13%,6,11%,1,2%
"Wales Fertility Institute, Cardiff",45,40,31,1.39,42%,19%,39%,0%,5,0,0,0,2,0,0,0,2,5,0,43,58%,9,20%,6,13%,5,11%,1,2%,6,15%,6,19%,9,21%,6,14%,5,12%,1,2%
Wolfson Fertility Centre - Hammersmith Hospital,154,150,109,1.54,35%,11%,54%,0%,1,0,0,3,1,0,0,0,24,16,0,168,77%,26,17%,23,15%,20,13%,3,2%,23,15%,23,21%,26,15%,23,14%,20,12%,3,2%
